review,sentiment
"I regard this loving, and sensitively written story, to be one of the screen's true masterpieces. After having seen this film, originally on the silver screen with my mother, in Los Angeles, California when it first came out, many years passed before I would have the opportunity to experience it again. The beauty, quiet simplistic elegance and tranquility of the film to me, set it aside from many, many others of its kind. Yes, tears still come to my eyes when I see it, and hear the refrain of that once in a lifetime song. perhaps still, today my number one all-time most beloved film. I would hope, this classic love story will be enjoyed, and appreciated, by our future generations.",positive
"Forest of the Damned starts out as five young friends, brother & sister Emilio (Richard Cambridge) & Ally (Sophie Holland) along with Judd (Daniel Maclagan), Molly (Nicole Petty) & Andrew (David Hood), set off on a week long holiday 'in the middle of nowhere', their words not mine. Anyway, before they know it they're deep in a forest & Emilio clumsily runs over a woman (Frances Da Costa), along with a badly injured person to add to their problems the van they're travelling in won't start & they can't get any signals on their mobile phones. They need to find help quickly so Molly & Judd wander off in the hope of finding a house, as time goes by & darkness begins to fall it becomes clear that they are not alone & that there is something nasty lurking in the woods...<br /><br />This English production was written & directed by Johannes Roberts & having looked over several other comments & reviews both here on the IMDb & across the internet Forest of the Damned seems to divide opinion with some liking it & other's not, personally it didn't do much for at all. The script is credited on screen to Roberts but here on the IMDb it lists Joseph London with 'additional screenplay material' whatever that means, the film is your basic backwoods slasher type thing like The Texas Chainsaw Massacre (1974) with your basic stranded faceless teenage victims being bumped off but uses the interesting concept of fallen angels who roam the forest & kill people for reason that are never explained to any great deal of satisfaction. Then there's Stephen, played by the ever fantastic Tom Savini, who is never given any sort of justification for what he does. Is he there to get victims for the angels? If so why did he kill Andrew by bashing his head in? The story is very loose, it never felt like a proper film. The character's are poor, the dialogue not much better & the lack of any significant story makes it hard to get into it or care about anything that's going on. Having said that it moves along at a reasonable pace & there are a couple of decent scenes here.<br /><br />Director Johannes doesn't do anything special, it's not a particularly stylish or flash film to look at. There's a few decent horror scenes & the Tom Savini character is great whenever he's on screen (although why didn't he hear Judd breaking the door down with an axe while escaping with Molly?) & it's a shame when he gets killed off. There are a couple of decent gore scenes here, someone has their head bashed in, there's a decapitation, someone gets shotgun blasted, someone throat is bitten out, someones lips are bitten off & someone is ripped in half. There is also a fair amount of full frontal female nudity, not that it helps much.<br /><br />Technically Forest of the Damned is OK, it's reasonably well made but nothing overly special or eye-catching. This was shot in England & Wales & it's quite odd to see an English setting for a very American themed backwards horror. The acting is generally pretty poor save for Savini who deserves to be in better than this. Horror author Shaun Hutson has an embarrassing cameo at the end & proves he should stick to writing rather than acting.<br /><br />Forest of the Damned was a pretty poor horror film, it seems to have fans out there so maybe I'm missing something but it's not a film I have much fondness for. Apart from one or two decent moments there's not much here to recommend.",negative
"This film just goes to prove that not every film made during the glory days of Hollywood is worth seeing. Just because you've got an excellent ensemble cast doesn't mean that this can overcome a script that was probably written by a chimp! Think about it--the film featured Richard Widmark, Lauren Bacall, Charles Boyer, Gloria Graham, Lillian Gish and Paul Stewart and yet it still was a bad film! The basic premise of the film isn't bad--a private psychiatric hospital where the staff are more screwed up than the patients! Also, the subplot involving the overworked husband and wife (Widmark and Graham) had a lot of promise. However, the script was handled with all the finesse and deftness of a drunk buffalo--with bellicose and way over the top scenes again and again in the film. In fact, it was less like a drama and more like a very bad episode of ""General Hospital"". Subtle, this film ain't!! Realistic, this film ain't!! <br /><br />While most of the reason this film reeked was the awful script, but I also blame the producers as well for miscasting and misusing come veteran actors. For example, Paul Stewart may not be a household name but this character actor had exceptional talent--especially when playing gangsters in Film Noir movies. Yet here, Stewart is cast as a very nondescript psychiatrist with some bizarre European accent--it just didn't work since this was well outside his acting range and his character was totally undeveloped and one-dimensional. Also, Charles Boyer just seemed hopelessly miscast and totally out of place. Seeing this fine romantic actor as a psychiatrist in the heartland of America just seemed bizarre.<br /><br />Overall, this is a rather awful film. It is very watchable in a train wreck sort of way but it certainly isn't very pretty. My wife and I disliked much of the movie but also felt it could have been very good had the writing been competent.<br /><br />PS--In a case of art imitating life, Oscar Levant played one of the patients. In real life, the brilliant Levant spent much of his life in and out of mental institutions.",negative
"In this film, we're invited to observe the descent into a moral and emotional funk of someone who isn't likable to start with. What was the point of making the film, then? To show that it would have been better not to have had IN COLD BLOOD - a book I admire, incidentally - in order to have kept our hero's integrity intact? Hardly. He behaves at the party at the start of the film exactly in the same way he behaves after his triumphant reading from the book, so his degradation is a matter of degree. Are we supposed to care enough about Capote to take seriously his claim that he and murderer Perry Smith are kindred spirits, with the former having had all the breaks while the latter had none? Mr Capote's plight didn't touch me at all, I'm afraid, so if that was the central idea it was wasted on me. But even if I could fathom why the filmmakers visited this pointless project on us, the clunky storytelling would still have bored me as it did. Hoffman gives a bravura performance to no emotional effect, while Keener and Cooper are so warm and interesting that I was yearning for more of them. Dreary beyond belief.",negative
"They have taken a story dear to the people of Edinburgh's heart, a true story and changed it as Hollywood has done before to many a tale. The end result is a movie however well done for those how do not know the story yet totally different and inaccurate. The original movie of this tale that Walt Disney himself oversaw used the right breed dog that is crucial for this tale and did not make that John Grey was anything special he was a poor Shepard who died in poverty at the inn. If you like the story, watch the Disney original for a better heart- warming story. It's a Shame the cast and the potential was there for a terrific remake of a classic tale. Read the book for an accurate occurrence of the story. And if you really like it, you can visit the real Kirkyard in Edinburgh.",negative
"This movie is so bad it hurts. The car doing 30 mph when it's supposed to go 100... the shift lever that's stuck (in Park!), the nurse that drives for almost 2 hours with the cell phone on the shoulder...can't any of the 2 morons take this damn phone? There's nothing credible in this crap. I would be ashamed to be seen in a movie like this!",negative
"Brilliant film, the next best film to The Drunken Master (Jackie Chan). I recently bought it on an original VHS and i haven't seen this film for 15 years but still as good as it was back then. The acting was terrible and the dubbing was even worse but it those features that make this film (and many other old fashioned Chinese kung-fu movies) great. The choreography is awesome and the storyline is basic. I have never seen the 36th chamber of shaolin but know it is the same film but Gordon liu plays San Te but San Te in Thr Return To The 36th Chamber is played by a different character. It has a lot of comedy value and brilliant kung-fu.",positive
"This owes a great deal to the plot of CAPTAINS COURAGEOUS. Although he is quite grown up, it is partly the story of a wealthy lad who is shanghaied as a crew member aboard a cargo vessel and becomes a man in the process. Moran of the title is a boyish young woman also brought up on a vessel owned by her father. When the cargo burns, she and crew members are evacuated to our lad's ship. However, the captain has smuggling on his mind and his intentions are not honorable where Moran is concerned. The inevitable ensues - our lad falls for the mannish Moran and she for him. In the end evil is subdued and the lovers are united. Some interesting dialogue points out that Moran belongs to no man -""and no woman."" (A nod to Sappho here). Dorothy Dalton is appropriately sexless as Moran and not too attractive either. Valentino does well in a romantic, action role. His sexy build and physique are shown off to advantage and the role is quite a masculine one. He is very appealing. This is no great film but it passes the time. What it really showcases is Valentino's beauty and sexiness.",negative
"I was glad to watch this movie free of charge as I am working in the hotel industry and this movie came lately to our movie library. Nothing against low budget movies, but this movie has horrible acting and directing. How can a movie as this one ever be made. The director should be blacklisted, and for all the poor actors, it is for sure not a jumping board into a career. Please make sure that you'll not watch this movie, the acting is lame, the camera and directing awful. There are just a few more movies out there which deserve to be called the ""LOW 10"". Another example would be ""Dracula 3000"". People who make money with this movie should give it to charity, so at least it serves for a good reason. <br /><br />In this case I would watch it even another 10 (or at least one more time).",negative
"Very typical Almodóvar of the time and, in its own way, no less funny than many of his later works. And why is that? There is nothing to be provoked or shocked about, and I guess any such effect is more coincidental than intentional. No, the great humor stems from an underlying, almost surreal, absurdity that is woven into the scenery: The characters' nearly complete lack of taboo. It's the same kind of 'comic suspense' you find in his later works, though you'll find it in a more rough version here. He's building up for masterpieces to come, but is not yet there.<br /><br />The sole reviewer who commented on this movie before I did, claimed that it had to be a ""very select"" group of people who'd find this movie hilarious. I do.",positive
"Doug McClure has starred in a few of these British produced genre adventures and this one has got to be the worst of the lot . I know THE LAND THAT TIME FORGOT has its critics but please at least that movie featured location filming and relatively good production values . That's the problem with this movie - The production values go way beyond "" So bad they're good "" affectionate territory and become "" so bad I think I'll go and see what's on the other channels "" <br /><br />One case in point is the first scene featuring the intrepid Cushing and McClure encountering a monster . It's painfully obvious the monster is an average sized man dressed up as a rubber monster being made to look over twenty foot tall via overblown back projection . It becomes even more painfully obvious that our heroes are trying to escape the monster by running on the spot . Have I mentioned that this is one of the more convincing set pieces ? No really this looks like it was filmed in somebody's living room with the spare change left over from that year's DOCTOR WHO budget . Even former DOCTOR WHO Peter Cushing is bland and what should have been an amusing line "" You can't mesmerise me - I'm British "" is delivered in a very flat way ( A very similar line is spoken by Cushing in HORROR EXPRESS ) in a script devoid of characterisation , plotting and memorable dialogue . It's not just the fact that the dialogue is unmemorable it's also infrequent and rare since the monsters don't speak . Wouldn't it have been better having the chief bad guys humanoids like in WARLORDS OF ATLANTIS so that they could explain the plot . Does anyone here know what the plot actually is ? <br /><br />A very tedious British movie that even the twin talents of Caroline Munro can not save . The whole mood of the movie is summed up by the final sequence featuring two keystone cops",negative
"This is one of my favorites. Betty White and Leslie Neilson sparkle in this romantic comedy. One is a business executive who re-evaluates life based on the expectation of her death within a year. The other is a playboy who has tired of gold-digging young women and seeks a relationship with a vital, mature woman. If you've got silver in your hair and/or romance in your heart, microwave the popcorn, curl up with your honey, and prepare yourself for a treat.",positive
This greatest movie gives us clue to the depth of our souls in most deadly moments of our lives. My heart is shrinking every time I saw the scene of hanging. I have no words any... You must see this brilliant picture.,positive
"Don't drink the cool-aid.<br /><br />This is an opinion piece disguised as a documentary. And to title it as a ""truth"" is just plain crap. The debate over global warming is far from over, and will only be over when the eco-zombies start acknowledging the mountain of evidence contrary to their beloved theory. Just Google ""Global Warming"" and ""Hoax"" or ""Junk Science"" and you will find a river of information refuting nearly every link in the chain of logic that Gore sites. The reason it is so important for people to educate themselves is the disastrous economic impact that global warming prevention measures would have. Wake up people. Anyone with a computer, a little time, and some common sense can find many many reasons why this theory is not even close to credible. Don't just read articles that support your present opinions, read everything you can find. There is no in-depth analysis to make, really. There is simply too many alternate possibilities and counter-evidence for the theory to have even the most basic level of scientific credibility. It is so uncredible, in fact, that it may be the single biggest hoax in the course of human existence. It's time for people to start speaking out against this kind of propaganda, and it's time for people to admit to themselves and others that you can be a both a conservationist AND recognize the glaring conclusion that global warming hysteria is a big lie.",negative
"I gave this film 8 out of 10, reserving 10 for e.g Amadeus, and 9 for Slumdog Millionaire most recently. This film is close to Slumdog, but it is difficult to judge on such film without understanding Balkan life, mentality and a soul which Kusturica presents masterfully. To understand it you really need to be one of Balkan. This is an amazing movie, much better and more contemporary of his previous films, which are boring at this time, I think Kusturica is moving forward with this movie. I like humour (Balkan humour), photography is an art itself, each scene is artistic to the limit. Plot is probably a fairy tale , don't recall it now, but remember reading to my daughter-going-to sleep a similar story.",positive
"""Classe tous risques"" feels like the granddaddy of ""The Sopranos"" in mixing the criminal and the domestic, and of the buddy film to feel as contemporary as ""Reservoir Dogs.""<br /><br />Even as these gangsters are affectionately entangled with wives, children, lovers and parents, they are coldly ruthless, and we are constantly reminded they are, no matter what warm situation we also see them in. They can tousle a kid's hair - and then shoot a threat in cold blood. The key is loyalty, and the male camaraderie is beautifully conveyed, without ethnic or class stereotypes, even as their web of past obligations and pay backs narrows into suspicion and paranoia, as the old gang is in various stages of parole, retirement, out on bail or into new, less profitable ventures. An intense accusation is of sending a stranger to perform an old escape scenario. It is a high point of emotion when a wife is told off that she's not the one the gangster is friends with, while virtually the only time we hear music on the soundtrack is when he recalls his wife.<br /><br />Streetscapes in Italy and France are marvelously used, in blinding daylight to dark water and highways, from the opening set up of a pair of brazen robbers -- who are traveling with one's wife and two kids. Rugged, craggy Lino Ventura captures the screen immediately as the criminal dad. And the second thug is clearly a casually avuncular presence in their lives, as they smoothly coordinate the theft and escape, in cars, buses, on boats and motorcycles, in easy tandem. This is not the cliché crusty old guy softened with the big-eyed orphan; these are their jobs and their families and they intersect in horrific ways.<br /><br />The film pulls no punches in unexpectedly killing off characters, directly and as collateral damage, and challenging our sympathy for them, right through to the unsentimental end, which is probably why there was never an American remake. <br /><br />It seems so fresh that it's not until Jean-Paul Belmondo enters almost a third of the way into the film, looking so insouciant as a young punk, that one realizes that this is from 1960. Sultry Sandra Milo has smart and terrific chemistry with him, from an ambulance to an elevator to a hospital bed.<br /><br />While the Film Forum was showing a new 35 mm print with newly translated subtitles, it was not pristine. The program notes explained that the title refers to a kind of insurance policy and is pun on ""tourist class.""",positive
"Perry Mason: The Case of the Glass Coffin finds Raymond Burr defending David Copperfield/Rick Blaine like magician Peter Scolari from a murder charge involving one of his assistants. A trick involving a suspended glass coffin in midair goes awry and the body of Nancy Grahn comes a tumbling out.<br /><br />Nancy was one of six female assistants who work with the act and we learn two things about her. First in a moment of drunken weakness, Scolari got seduced by her and she claims she was impregnated. Secondly she is living under an assumed name and had a secret from her past.<br /><br />Billy Moses who probably never thought he'd be doing such rough stuff back in law school gets to tangle with a couple of good old boys when goes seeking the truth in Grahn's home town. A little more action than usual for Ken Malansky, he almost gets himself killed. <br /><br />One big flaw in this mystery is simple forensics. The medical examiner's report should have provided concrete evidence that the victim was killed in such a way that Scolari could not possibly have done the deed. The police should have been looking in a different direction for the killer. <br /><br />When you see who the killer is you won't blame the individual, but you'll also see how the investigating officer James McEachin got it wrong from the start. It kind of spoils this particular Mason film.",negative
"This is a film that everyone should watch. Quite apart from raising hugely important points (while South Africa is on the road to recovery there are still many countries in similar situations now), it is superbly directed while Denzel Washington gives, in my opinion, the best performance in his career so far. Kline also gives a good performance, although perhaps not as stunning as Washington's. John Thaw also puts in a good turn as the Chief of Police.<br /><br />There are so many possible areas where a film on apartheid could fall down, but all of these have been avoided. It would be easy to simply portray white people as the bad guys and black people as the good guys, but Attenborough has not done this. Sure, there were some white characters who seemed inherently evil, such as the Captain at the Soweto uprising, but to add extra dimensions to all the characters would make the film unbearably long. Some people complain about the length of the film as it is, but I think it needs the whole two and a half hours to tell the whole story, for it really is an incredible one.<br /><br />The best scene in the film is that of Steve Biko's funeral. When the whole crowd begins to sing the South African national anthem, it is probably one of, if not the most moving scenes I have seen.<br /><br />If you haven't seen this film already: watch it. It may not be comfortable viewing, but it's certainly worth it.",positive
"Skip McCoy is a three time loser pick pocket, unable to curb his instincts back on the street, he picks the purse of Candy on a subway train. What he doesn't realise is that Candy is carrying top secret microfilm, microfilm that is of high interest to many many organisations.<br /><br />Director Samuel Fuller has crafted an exceptional drama set amongst the seedy underworld of New York City. Communist spies and shady government operatives all blend together to make Pickup On South Street a riveting viewing from first minute to the last. Based around a Dwight Taylor story called Blaze Of Glory, Fuller enthused this adaptation with heavy set political agenda, something that many at the time felt was over done, but to only focus on its anti communist leanings is doing it a big disservice.<br /><br />Digging a little deeper and you find characters as intriguing as any that Fuller has directed, the main protagonist for one is the hero of the piece, a crook and a shallow human being, his heroics are not born out of love for his country, they are born out of his sheer stubborn streak. It's quite an achievement that Fuller has crafted one of the best anti heroes of the 50s, and i'm sure he was most grateful to the performance of Richard Widmark as McCoy, all grin and icy cold heart, his interplay with the wonderful Jean Peters as Candy is excellent, and is the films heart. However it is the Oscar nominated Thelma Ritter who takes the acting honours, her Moe is strong and as seedy as the surrounding characters, but there is a tired warmth to her that Ritter conveys majestically.<br /><br />It's a B movie in texture but an A film in execution, Pickup On South Street is a real classy and entertaining film that is the best of its most intriguing director. 9/10",positive
Verry classic plot but a verry fun horror movie for home movie party Really gore in the second part This movie proves that you can make something fun with a small budget. I hope that the director will make another one,positive
"It's been a while since I've watched this movie, and the series, but now I'm refreshing my memory! This was a very funny movie based on the classic series! Johnny Knoxville and Seann William Scott were hilarious together. Bo and Luke Duke help Uncle Jesse run Moonshine in the General Lee. When Boss Hogg forces the Dukes off their farm, Bo and Luke sneak around Hogg's local construction site and find samples of coal. They soon realize that Boss Hogg is gonna strip-mine Hazzard County, unless the Dukes can stop him, with the help of their beautiful cousin, Daisy. My only two problems with the movie was that Burt Reynolds wasn't right for the part of Boss Hogg, and Sheriff Rosco P. Coltrane was way too serious. Other than that, I highly recommend THE DUKES OF HAZZARD!!!",positive
"I saw Insomniac's Nightmare not to long ago for the first time and I have to say, I really found it to be quite good. If you are a fan of Dominic Monaghan you will love it. The hole movie takes place inside his mind -or does it? The acting from everyone else is a little rushed and shaky and some of the scenes could be cut down but it works out in the end. The extras on the DVD are just as great as the film, if not greater for those Dom fans. It has tons of candid moments from the set, outtakes and a great interview with the director. Anyone who has gone through making an independent film will love to watch Tess (the director), Dom and everyone else on the very small close personal set try to bang out this little trippy creepy film. It was pretty enjoyable and I'm glad to have it in my collection.",positive
"It was a serious attempt to show the developing sexuality of two schoolgirls and did not try to exploit its fact Even by today's standards, the film is interesting and provocative <br /><br />Therese and Isabelle are both attending the same girl's school Therese is energetic, intelligent, and becomes a mentor for the innocent, naive, sweet Isabelle She guides her through a number of exotic experiences, including a trip through an exclusive brothel, into her first lesbian liaison, and indirectly into her first heterosexual experience <br /><br />The film does not exploit any sex, nor is there an abundance of nudity... The imagery is effective, but sometimes the camera lingers too long, and the story goes slowly <br /><br />The director, Radley Metzger, went on to make a number of explicit erotic films under the name of Henry Paris He always has extremely detailed stories, good acting, and very high standards of cinematography...<br /><br />Artistically, however, this is perhaps his most complete His later attempts supplied for entertainment, whereas ""Therese and Isabelle"" was a study into the nature of youthful eroticism...",positive
"Much has been made of Rohmer's use of digital technology to 'fill in' the background. At times it works well, the scene where Grace and her maid witness from afar the King's execution is particularly striking. At other times it gives the film a strangely amateurish look, resembling a home video. However, the major failing is that the sheer artificiality of the mise en scene creates an alienating effect in the viewer. We know that what we are watching is not real so how can we feel for the characters? To be frank, I did not care at all what happened to the Lady or the Duke.<br /><br />The other major failing, I regret to say, is the performance of Lucy Russell in the leading role. She is in virtually every scene and the success or otherwise of the film rests on her performance. OK she is speaking a foreign language but she is incapable of expressing real emotion. Her emoting in the scene where she recounts to her friend Mme de Meyler (an excellent performance by the debutante Helena Dubiel) seeing the head on a pole caused some embarrassed laughter in the audience. Also, watch her hands when she is expressing emotion!<br /><br />All in all a very disappointing film, particularly given the positive reviews on this site.",negative
"But a great cast! Jonathan Pryce, Kathy Bates, Rupert Everett, Lynne Redgrave, Julie Andrews and Dan Aykroyd! And that's just the beginning.<br /><br />I'm not totally sure that any description of the movie and plot are going to entice you to watch this one. Suffice it to say that it has something for practically everyone: death, singing, a sparkly suit, cell phones, a little person (nice looking woman, actually), a drawbridge (modern, not Medieval), a boombox, and a crossbow. Oh, and a psychotic. And Barry Manilow.<br /><br />You will have to trust me when I say that 50% of you out there will hate this movie because of the lack of the Absurd Gene in your DNA makeup. It's not your fault; it's hereditary. The other 50% of you will probably want to change the channel after 20 minutes, but you HAVE TO KEEP WATCHING.<br /><br />Even at that, at the end you may wonder why you watched... but keep in mind that absurdity thing. It should grow on you. It is a test.",positive
"Fans of apocalyptic movies will savor this well-made low-budget thriller that is essentially a remake of the 1951 George Pal classic ""When Worlds Collide."" A comet is headed for a near-collision with earth, and when his fellow scientists disregard his warnings of doom, eccentric scientist Peter Crawford (Dennis Hopper) gathers a group of private investors to secretly construct an underground sanctuary.<br /><br />The story unfolds through the eyes of muscle-bound Gulf-war veteran Jake Lowe (Peter Onorati)who inadvertently discovers Crawford's hidden sanctuary and then decides that Crawford is wrong for keeping his project hidden from the rest of humanity. As the comet approaches, the subject of who should live and who should die makes for interesting drama.<br /><br />While the special effects are not in the same league, I enjoyed the story more than I did Spielberg's War of the Worlds, because I feel this screenplay is better. Some suspension of scientific reality is required, but it's worthwhile for the development of a good story. I highly recommend this film to fans of the genre.",positive
"Stu Ungar is considered by many to be the greatest poker / gin player of all time - an extraordinary self-destructive force of nature - tiny in stature, but a huge heart for the game.<br /><br />What we have here is a kind of Hallmark film about the dangers of gambling. Sure, he wins, he loses, he blows it all on sex, drugs, and more gambling we get it, but where is the real play - where is what made him the greatest card player of all time.<br /><br />Much too flat, and frankly boring in places, this gets a four because we get to learn something about Stu the man, but Stu the card player, nada.<br /><br />Nicely shot and presented up to a point this is the perfect example of how not to make a film about cards: honestly, ESPN's coverage of the World Series is more watchable than this.<br /><br />A waste of a great chance.",negative
